Rettungspunkt,Longitude,Latitude,Koordinaten,Schnellestes Fahrzeug,Anfahrtszeit,Nächstes Fahrzeug,Anfahrtsdistanz,Ankunft innerhalb 5min,Zeit_HM 81/1,Zeit_PA 84/1,Zeit_WK 81/1,Zeit_WK 84/1,Zeit_Fi 81/1,Zeit_Mifi 84/1,Zeit_Mifi 81/1 W,Zeit_Schöf 81/1,Zeit_Gr 81/1,Entf_HM 81/1,Entf_PA 84/1,Entf_WK 81/1,Entf_WK 84/1,Entf_Fi 81/1,Entf_Mifi 84/1,Entf_Mifi 81/1 W,Entf_Schöf 81/1,Entf_Gr 81/1
Galla - Ortenburg, 13.24884,48.57372," 13.24884,48.57372",PA 84/1,21:41 min,PA 84/1,20.5 km,PA 84/1,65:04 min,21:41 min,58:52 min,46:17 min,72:22 min,67:27 min,67:27 min,45:34 min,60:59 min,61.2 km,20.5 km,48.9 km,39.8 km,71.5 km,74.8 km,74.8 km,46.8 km,50.8 km
Gassenmann - Ortenburg, 13.24299,48.57460," 13.24299,48.57460",PA 84/1,22:12 min,PA 84/1,20.9 km,PA 84/1,65:35 min,22:12 min,59:24 min,46:48 min,72:54 min,67:58 min,67:58 min,46:05 min,61:31 min,61.6 km,20.9 km,49.3 km,40.2 km,72.0 km,75.2 km,75.2 km,47.2 km,51.2 km
Gießhübl - Ortenburg, 13.20986,48.58597," 13.20986,48.58597",PA 84/1,29:01 min,PA 84/1,22.6 km,PA 84/1,72:24 min,29:01 min,66:13 min,53:37 min,79:43 min,74:47 min,74:47 min,45:56 min,61:21 min,63.3 km,22.6 km,51.0 km,41.9 km,73.7 km,76.9 km,76.9 km,44.6 km,48.6 km
Göbertsham - Ortenburg, 13.27464,48.53051," 13.27464,48.53051",PA 84/1,20:08 min,PA 84/1,15.6 km,PA 84/1,67:47 min,20:08 min,61:35 min,49:00 min,75:05 min,70:10 min,70:10 min,47:15 min,62:05 min,61.2 km,15.6 km,49.0 km,39.9 km,71.6 km,74.9 km,74.9 km,62.4 km,62.1 km
Greil - Ortenburg, 13.26514,48.58350," 13.26514,48.58350",PA 84/1,20:39 min,PA 84/1,19.1 km,PA 84/1,64:02 min,20:39 min,57:50 min,45:15 min,71:20 min,66:25 min,66:25 min,44:32 min,59:57 min,59.8 km,19.1 km,47.5 km,38.4 km,70.2 km,73.4 km,73.4 km,45.4 km,49.4 km
Hacklmühle - Ortenburg, 13.21331,48.55390," 13.21331,48.55390",PA 84/1,28:53 min,PA 84/1,20.3 km,PA 84/1,72:19 min,28:53 min,66:08 min,53:32 min,79:38 min,74:42 min,74:42 min,49:12 min,64:37 min,66.7 km,20.3 km,54.4 km,45.3 km,77.1 km,80.3 km,80.3 km,47.6 km,51.6 km
Hasling - Ortenburg, 13.24230,48.56463," 13.24230,48.56463",PA 84/1,23:52 min,PA 84/1,21.7 km,PA 84/1,67:15 min,23:52 min,61:04 min,48:28 min,74:34 min,69:38 min,69:38 min,47:45 min,63:11 min,62.4 km,21.7 km,50.1 km,41.0 km,72.8 km,76.0 km,76.0 km,48.0 km,52.1 km
Heimpering - Ortenburg, 13.19935,48.58789," 13.19935,48.58789",PA 84/1,29:50 min,PA 84/1,26.2 km,PA 84/1,73:12 min,29:50 min,67:01 min,54:26 min,80:31 min,75:35 min,75:35 min,46:13 min,61:38 min,66.9 km,26.2 km,54.6 km,45.5 km,77.3 km,80.5 km,80.5 km,44.5 km,48.5 km
Hierling - Ortenburg, 13.26708,48.55210," 13.26708,48.55210",PA 84/1,22:19 min,PA 84/1,15.7 km,PA 84/1,67:19 min,22:19 min,61:08 min,48:33 min,74:38 min,69:42 min,69:42 min,47:57 min,62:47 min,57.3 km,15.7 km,45.0 km,35.9 km,67.7 km,70.9 km,70.9 km,58.9 km,58.5 km
Hifering - Ortenburg, 13.18693,48.55826," 13.18693,48.55826",PA 84/1,30:46 min,PA 84/1,25.2 km,PA 84/1,74:16 min,30:46 min,68:04 min,55:29 min,81:34 min,76:39 min,76:39 min,49:27 min,64:53 min,68.6 km,25.2 km,56.3 km,47.2 km,79.0 km,82.2 km,82.2 km,48.2 km,52.2 km
