Rettungspunkt,Longitude,Latitude,Koordinaten,Schnellestes Fahrzeug,Anfahrtszeit,Nächstes Fahrzeug,Anfahrtsdistanz,Ankunft innerhalb 5min,Zeit_HM 81/1,Zeit_PA 84/1,Zeit_WK 81/1,Zeit_WK 84/1,Zeit_Fi 81/1,Zeit_Mifi 84/1,Zeit_Mifi 81/1 W,Zeit_Schöf 81/1,Zeit_Gr 81/1,Entf_HM 81/1,Entf_PA 84/1,Entf_WK 81/1,Entf_WK 84/1,Entf_Fi 81/1,Entf_Mifi 84/1,Entf_Mifi 81/1 W,Entf_Schöf 81/1,Entf_Gr 81/1
Kniereit - Schöfweg, 13.24320,48.83374," 13.24320,48.83374",Schöf 81/1,3:14 min,Schöf 81/1,1.2 km,Schöf 81/1,59:55 min,46:03 min,62:33 min,57:46 min,56:57 min,55:01 min,55:01 min,3:14 min,23:44 min,53.3 km,52.5 km,51.2 km,49.6 km,45.8 km,53.8 km,53.8 km,1.2 km,20.0 km
Langfurth - Schöfweg, 13.20356,48.82709," 13.20356,48.82709",Schöf 81/1,6:05 min,Schöf 81/1,3.4 km,Schöf 81/1,60:29 min,39:31 min,62:51 min,53:26 min,57:30 min,55:34 min,55:34 min,6:05 min,24:18 min,56.1 km,49.7 km,54.5 km,48.8 km,48.6 km,56.5 km,56.5 km,3.4 km,22.8 km
Mitterdorf - Schöfweg, 13.20964,48.83602," 13.20964,48.83602",Schöf 81/1,4:39 min,Schöf 81/1,2.2 km,Schöf 81/1,59:02 min,40:58 min,61:40 min,54:52 min,56:04 min,54:08 min,54:08 min,4:39 min,22:51 min,54.9 km,50.9 km,52.9 km,50.0 km,47.4 km,55.4 km,55.4 km,2.2 km,21.6 km
Mutzenwinkel - Schöfweg, 13.24262,48.84291," 13.24262,48.84291",Schöf 81/1,4:05 min,Schöf 81/1,1.3 km,Schöf 81/1,56:17 min,46:17 min,58:54 min,56:17 min,53:18 min,51:22 min,51:22 min,4:05 min,20:06 min,51.6 km,54.8 km,49.5 km,51.7 km,44.1 km,52.0 km,52.0 km,1.3 km,18.2 km
Reinermühle - Schöfweg, 13.23954,48.83342," 13.23954,48.83342",Schöf 81/1,2:38 min,Schöf 81/1,0.9 km,Schöf 81/1,59:19 min,46:20 min,61:56 min,58:03 min,56:21 min,54:25 min,54:25 min,2:38 min,23:08 min,53.0 km,53.8 km,51.0 km,50.9 km,45.5 km,53.5 km,53.5 km,0.9 km,19.7 km
Scheibenberg - Schöfweg, 13.23594,48.83490," 13.23594,48.83490",Schöf 81/1,1:50 min,Schöf 81/1,0.5 km,Schöf 81/1,59:49 min,45:32 min,62:26 min,57:15 min,56:51 min,54:54 min,54:54 min,1:50 min,23:38 min,53.3 km,53.5 km,51.2 km,50.5 km,45.8 km,53.8 km,53.8 km,0.5 km,19.9 km
Schöfweg - Schöfweg, 13.22834,48.83942," 13.22834,48.83942",Schöf 81/1,1:36 min,Schöf 81/1,0.4 km,Schöf 81/1,57:50 min,43:39 min,60:27 min,55:21 min,54:52 min,52:55 min,52:55 min,1:36 min,21:39 min,53.5 km,52.9 km,51.4 km,50.0 km,46.0 km,54.0 km,54.0 km,0.4 km,20.1 km
Sonnenwald - Schöfweg, 13.22337,48.82397," 13.22337,48.82397",Schöf 81/1,9:34 min,Schöf 81/1,3.2 km,Schöf 81/1,65:42 min,47:49 min,68:19 min,61:43 min,62:43 min,60:47 min,60:47 min,9:34 min,29:31 min,56.4 km,53.0 km,54.4 km,52.2 km,48.9 km,56.9 km,56.9 km,3.2 km,23.1 km
Sonnenwald - Schöfweg, 13.19188,48.82039," 13.19188,48.82039",Schöf 81/1,10:11 min,Schöf 81/1,5.2 km,Schöf 81/1,64:35 min,41:35 min,64:55 min,55:30 min,61:37 min,59:41 min,59:41 min,10:11 min,28:24 min,57.9 km,50.0 km,54.8 km,49.1 km,50.4 km,58.4 km,58.4 km,5.2 km,24.6 km
Steinberg - Schöfweg, 13.18703,48.81922," 13.18703,48.81922",Schöf 81/1,10:32 min,Schöf 81/1,5.2 km,Schöf 81/1,64:56 min,40:31 min,65:15 min,55:50 min,61:58 min,60:01 min,60:01 min,10:32 min,28:45 min,57.9 km,49.1 km,54.9 km,49.1 km,50.4 km,58.4 km,58.4 km,5.2 km,24.6 km
Almosenreuth - Schönberg Niederbay, 13.31346,48.86074," 13.31346,48.86074",Schöf 81/1,11:27 min,Schöf 81/1,11.4 km,"Gr 81/1, Schöf 81/1",52:32 min,50:05 min,55:09 min,52:32 min,47:55 min,46:47 min,46:47 min,11:27 min,16:21 min,47.3 km,43.4 km,45.2 km,47.4 km,41.0 km,42.4 km,42.4 km,11.4 km,14.0 km
Artmannsreuth - Schönberg Niederbay, 13.31297,48.81668," 13.31297,48.81668",Schöf 81/1,18:54 min,Schöf 81/1,9.6 km,"Gr 81/1, Schöf 81/1",56:42 min,49:25 min,57:46 min,51:13 min,53:43 min,51:47 min,51:47 min,18:54 min,20:31 min,44.8 km,54.6 km,42.0 km,42.1 km,37.3 km,45.2 km,45.2 km,9.6 km,11.4 km
Eberhardsreuth - Schönberg Niederbay, 13.35892,48.81544," 13.35892,48.81544",Gr 81/1,11:23 min,Gr 81/1,8.1 km,"Gr 81/1, Schöf 81/1",47:34 min,41:40 min,46:51 min,44:08 min,44:36 min,42:40 min,42:40 min,15:01 min,11:23 min,41.4 km,34.4 km,36.3 km,38.4 km,33.9 km,41.9 km,41.9 km,15.7 km,8.1 km
Frohnreuth - Schönberg Niederbay, 13.33096,48.83481," 13.33096,48.83481",Gr 81/1,14:23 min,Gr 81/1,9.0 km,"Gr 81/1, Schöf 81/1",50:34 min,48:06 min,53:11 min,50:34 min,47:35 min,45:39 min,45:39 min,15:27 min,14:23 min,42.3 km,38.4 km,40.2 km,42.4 km,34.8 km,42.8 km,42.8 km,14.3 km,9.0 km
Gerlesreuth - Schönberg Niederbay, 13.30634,48.83443," 13.30634,48.83443",Schöf 81/1,14:58 min,Gr 81/1,10.8 km,"Gr 81/1, Schöf 81/1",55:14 min,52:47 min,57:52 min,55:14 min,52:16 min,50:20 min,50:20 min,14:58 min,19:03 min,44.1 km,40.2 km,42.1 km,44.3 km,36.7 km,44.6 km,44.6 km,10.9 km,10.8 km
Grubmühle - Schönberg Niederbay, 13.35227,48.83853," 13.35227,48.83853",Gr 81/1,10:24 min,Gr 81/1,6.4 km,"Gr 81/1, Schöf 81/1",46:35 min,46:41 min,50:47 min,49:08 min,43:36 min,41:40 min,41:40 min,14:03 min,10:24 min,39.8 km,37.4 km,39.1 km,41.5 km,32.3 km,40.2 km,40.2 km,14.3 km,6.4 km
Gumpenreit - Schönberg Niederbay, 13.35605,48.80475," 13.35605,48.80475",Gr 81/1,12:36 min,Gr 81/1,9.3 km,"Gr 81/1, Schöf 81/1",48:47 min,40:27 min,48:03 min,42:55 min,45:49 min,43:52 min,43:52 min,16:14 min,12:36 min,42.6 km,33.1 km,37.6 km,37.2 km,35.2 km,43.1 km,43.1 km,16.9 km,9.3 km
Habernberg - Schönberg Niederbay, 13.32907,48.87328," 13.32907,48.87328",Schöf 81/1,15:48 min,Gr 81/1,8.8 km,"Gr 81/1, Schöf 81/1",52:32 min,52:38 min,56:44 min,55:05 min,47:46 min,46:38 min,46:38 min,15:48 min,16:16 min,44.7 km,42.4 km,44.1 km,46.5 km,37.9 km,39.4 km,39.4 km,16.4 km,8.8 km
Haibach - Schönberg Niederbay, 13.34247,48.81332," 13.34247,48.81332",Gr 81/1,14:32 min,Gr 81/1,9.1 km,"Gr 81/1, Schöf 81/1",50:43 min,43:49 min,50:33 min,46:16 min,47:44 min,45:48 min,45:48 min,18:07 min,14:32 min,42.4 km,34.8 km,38.1 km,38.8 km,34.9 km,42.9 km,42.9 km,15.9 km,9.1 km
Haibachmühle - Schönberg Niederbay, 13.34604,48.80827," 13.34604,48.80827",Gr 81/1,14:50 min,Gr 81/1,10.5 km,"Gr 81/1, Schöf 81/1",51:01 min,42:34 min,50:17 min,45:01 min,48:02 min,46:06 min,46:06 min,18:27 min,14:50 min,43.8 km,34.1 km,38.8 km,38.2 km,36.3 km,44.3 km,44.3 km,18.1 km,10.5 km
Hartmannsreit - Schönberg Niederbay, 13.34673,48.86602," 13.34673,48.86602",Gr 81/1,14:04 min,Gr 81/1,7.2 km,"Gr 81/1, Schöf 81/1",50:21 min,50:26 min,54:33 min,52:53 min,46:45 min,45:26 min,45:26 min,16:02 min,14:04 min,43.1 km,40.8 km,42.4 km,44.9 km,37.3 km,43.6 km,43.6 km,13.9 km,7.2 km
Hof - Schönberg Niederbay, 13.34943,48.85146," 13.34943,48.85146",Gr 81/1,12:22 min,Gr 81/1,5.6 km,"Gr 81/1, Schöf 81/1",48:39 min,48:44 min,52:51 min,51:12 min,45:40 min,43:44 min,43:44 min,16:05 min,12:22 min,41.5 km,39.2 km,40.8 km,43.2 km,34.0 km,42.0 km,42.0 km,15.9 km,5.6 km
Kasberg - Schönberg Niederbay, 13.32677,48.87332," 13.32677,48.87332",Schöf 81/1,15:33 min,Gr 81/1,9.1 km,"Gr 81/1, Schöf 81/1",53:00 min,53:06 min,57:13 min,55:33 min,48:06 min,46:59 min,46:59 min,15:33 min,16:44 min,45.1 km,42.8 km,44.4 km,46.8 km,39.9 km,41.3 km,41.3 km,16.2 km,9.1 km
Kirchberg - Schönberg Niederbay, 13.33041,48.82370," 13.33041,48.82370",Gr 81/1,16:07 min,Gr 81/1,9.2 km,"Gr 81/1, Schöf 81/1",52:18 min,47:01 min,53:11 min,49:28 min,49:20 min,47:24 min,47:24 min,18:12 min,16:07 min,42.5 km,36.5 km,39.5 km,40.6 km,35.1 km,43.0 km,43.0 km,15.4 km,9.2 km
Klebstein - Schönberg Niederbay, 13.34697,48.84530," 13.34697,48.84530",Gr 81/1,13:35 min,Gr 81/1,8.3 km,"Gr 81/1, Schöf 81/1",49:46 min,49:52 min,53:59 min,52:19 min,46:48 min,44:52 min,44:52 min,17:09 min,13:35 min,41.6 km,39.3 km,40.9 km,43.4 km,34.2 km,42.1 km,42.1 km,14.5 km,8.3 km
Kleinmisselberg - Schönberg Niederbay, 13.31236,48.86762," 13.31236,48.86762",Schöf 81/1,12:11 min,Schöf 81/1,12.3 km,"Gr 81/1, Schöf 81/1",53:16 min,50:48 min,55:53 min,53:16 min,47:17 min,46:10 min,46:10 min,12:11 min,17:05 min,48.1 km,44.2 km,46.1 km,48.3 km,39.8 km,41.2 km,41.2 km,12.3 km,14.8 km
Lederhof - Schönberg Niederbay, 13.34353,48.86249," 13.34353,48.86249",Schöf 81/1,16:12 min,Gr 81/1,7.8 km,"Gr 81/1, Schöf 81/1",53:39 min,53:45 min,57:51 min,56:12 min,49:23 min,48:16 min,48:16 min,16:12 min,17:22 min,43.7 km,41.4 km,43.0 km,45.5 km,38.3 km,39.7 km,39.7 km,13.5 km,7.8 km
Lettlmühle - Schönberg Niederbay, 13.31500,48.83346," 13.31500,48.83346",Gr 81/1,15:39 min,Gr 81/1,9.9 km,"Gr 81/1, Schöf 81/1",51:50 min,49:23 min,54:27 min,51:50 min,48:51 min,46:55 min,46:55 min,16:42 min,15:39 min,43.3 km,39.4 km,41.2 km,43.4 km,35.8 km,43.8 km,43.8 km,11.3 km,9.9 km
Lueg - Schönberg Niederbay, 13.31071,48.83024," 13.31071,48.83024",Gr 81/1,17:44 min,Gr 81/1,10.5 km,"Gr 81/1, Schöf 81/1",53:55 min,51:27 min,56:32 min,53:55 min,50:56 min,49:00 min,49:00 min,18:19 min,17:44 min,43.8 km,39.9 km,41.8 km,43.9 km,36.3 km,44.3 km,44.3 km,11.7 km,10.5 km
Maukenreuth - Schönberg Niederbay, 13.34208,48.82375," 13.34208,48.82375",Gr 81/1,14:08 min,Gr 81/1,8.7 km,"Gr 81/1, Schöf 81/1",50:19 min,47:16 min,52:56 min,49:43 min,47:20 min,45:24 min,45:24 min,16:12 min,14:08 min,42.0 km,36.3 km,39.9 km,40.4 km,34.5 km,42.5 km,42.5 km,14.8 km,8.7 km
Mitternach - Schönberg Niederbay, 13.34750,48.82953," 13.34750,48.82953",Gr 81/1,11:20 min,Gr 81/1,7.5 km,"Gr 81/1, Schöf 81/1",47:31 min,45:03 min,50:08 min,47:31 min,44:32 min,42:36 min,42:36 min,13:24 min,11:20 min,40.8 km,36.9 km,38.8 km,41.0 km,33.4 km,41.3 km,41.3 km,13.7 km,7.5 km
Ochsenberg - Schönberg Niederbay, 13.33885,48.81697," 13.33885,48.81697",Gr 81/1,14:59 min,Gr 81/1,9.3 km,"Gr 81/1, Schöf 81/1",51:10 min,44:50 min,51:00 min,47:17 min,48:11 min,46:15 min,46:15 min,17:06 min,14:59 min,42.6 km,35.3 km,38.3 km,39.3 km,35.2 km,43.1 km,43.1 km,15.4 km,9.3 km
Oedhäuser - Schönberg Niederbay, 13.36161,48.80274," 13.36161,48.80274",Gr 81/1,14:33 min,Gr 81/1,10.0 km,"Gr 81/1, Schöf 81/1",50:44 min,42:15 min,50:01 min,44:43 min,47:46 min,45:50 min,45:50 min,18:11 min,14:33 min,43.3 km,33.6 km,38.3 km,37.7 km,35.9 km,43.8 km,43.8 km,17.6 km,10.0 km
Oedhof - Schönberg Niederbay, 13.31215,48.84770," 13.31215,48.84770",Schöf 81/1,10:47 min,Schöf 81/1,9.6 km,Schöf 81/1,52:02 min,49:35 min,54:39 min,52:02 min,49:03 min,47:07 min,47:07 min,10:47 min,15:51 min,45.7 km,41.8 km,43.7 km,45.9 km,38.2 km,46.2 km,46.2 km,9.6 km,12.4 km
Panhof - Schönberg Niederbay, 13.31870,48.82957," 13.31870,48.82957",Gr 81/1,16:39 min,Gr 81/1,9.8 km,"Gr 81/1, Schöf 81/1",52:50 min,50:11 min,55:27 min,52:38 min,49:51 min,47:55 min,47:55 min,17:43 min,16:39 min,43.1 km,38.0 km,41.1 km,42.1 km,35.7 km,43.6 km,43.6 km,15.2 km,9.8 km
Pittrichsberg - Schönberg Niederbay, 13.34608,48.85361," 13.34608,48.85361",Gr 81/1,14:48 min,Gr 81/1,6.6 km,"Gr 81/1, Schöf 81/1",51:04 min,51:10 min,55:17 min,53:37 min,48:06 min,46:10 min,46:10 min,16:38 min,14:48 min,42.6 km,40.2 km,41.9 km,44.3 km,35.1 km,43.0 km,43.0 km,14.7 km,6.6 km
Pummerhof - Schönberg Niederbay, 13.31535,48.85568," 13.31535,48.85568",Schöf 81/1,11:43 min,Schöf 81/1,11.8 km,"Gr 81/1, Schöf 81/1",52:48 min,50:20 min,55:25 min,52:48 min,48:10 min,47:02 min,47:02 min,11:43 min,16:37 min,47.7 km,43.8 km,45.6 km,47.8 km,41.4 km,42.8 km,42.8 km,11.8 km,14.3 km
Raben - Schönberg Niederbay, 13.33643,48.85938," 13.33643,48.85938",Schöf 81/1,15:33 min,Gr 81/1,10.9 km,"Gr 81/1, Schöf 81/1",53:58 min,52:25 min,57:30 min,54:53 min,49:21 min,48:13 min,48:13 min,15:33 min,17:47 min,44.3 km,42.0 km,43.9 km,46.1 km,38.8 km,40.2 km,40.2 km,14.4 km,10.9 km
Rammelsberg - Schönberg Niederbay, 13.32669,48.83808," 13.32669,48.83808",Gr 81/1,15:40 min,Gr 81/1,8.5 km,"Gr 81/1, Schöf 81/1",51:51 min,50:18 min,55:22 min,52:45 min,48:52 min,46:56 min,46:56 min,16:49 min,15:40 min,41.9 km,39.6 km,41.4 km,43.6 km,34.4 km,42.3 km,42.3 km,11.2 km,8.5 km
Rötz - Schönberg Niederbay, 13.33701,48.86755," 13.33701,48.86755",Schöf 81/1,14:32 min,Gr 81/1,8.2 km,"Gr 81/1, Schöf 81/1",51:52 min,51:57 min,56:04 min,54:24 min,47:05 min,45:58 min,45:58 min,14:32 min,15:35 min,44.2 km,41.9 km,43.5 km,45.9 km,37.4 km,38.8 km,38.8 km,12.8 km,8.2 km
Saunstein - Schönberg Niederbay, 13.32431,48.85324," 13.32431,48.85324",Schöf 81/1,12:18 min,Gr 81/1,9.7 km,"Gr 81/1, Schöf 81/1",51:41 min,50:08 min,55:12 min,52:35 min,48:42 min,46:46 min,46:46 min,12:18 min,15:30 min,43.0 km,40.8 km,42.6 km,44.8 km,35.6 km,43.5 km,43.5 km,12.4 km,9.7 km
Schabenberg - Schönberg Niederbay, 13.32271,48.81167," 13.32271,48.81167",Schöf 81/1,20:19 min,Schöf 81/1,10.3 km,"Gr 81/1, Schöf 81/1",56:47 min,49:13 min,56:56 min,51:40 min,53:49 min,51:53 min,51:53 min,20:19 min,20:36 min,45.0 km,37.2 km,41.8 km,41.3 km,37.5 km,45.4 km,45.4 km,10.3 km,11.6 km
Schönberg - Schönberg Niederbay, 13.33684,48.84046," 13.33684,48.84046",Gr 81/1,12:38 min,Gr 81/1,7.6 km,"Gr 81/1, Schöf 81/1",48:49 min,47:16 min,52:21 min,49:44 min,45:51 min,43:54 min,43:54 min,14:25 min,12:38 min,40.9 km,38.7 km,40.5 km,42.7 km,33.5 km,41.4 km,41.4 km,14.6 km,7.6 km
Schreinerhof - Schönberg Niederbay, 13.35065,48.83785," 13.35065,48.83785",Gr 81/1,10:06 min,Gr 81/1,6.5 km,"Gr 81/1, Schöf 81/1",46:17 min,46:17 min,50:29 min,48:45 min,43:18 min,41:22 min,41:22 min,13:26 min,10:06 min,39.8 km,38.1 km,39.1 km,42.1 km,32.3 km,40.3 km,40.3 km,14.0 km,6.5 km
Seifertsreuth - Schönberg Niederbay, 13.32341,48.84218," 13.32341,48.84218",Schöf 81/1,13:56 min,Gr 81/1,8.7 km,"Gr 81/1, Schöf 81/1",52:34 min,51:01 min,56:06 min,53:29 min,49:36 min,47:39 min,47:39 min,13:56 min,16:23 min,42.0 km,39.7 km,41.6 km,43.8 km,34.5 km,42.5 km,42.5 km,10.4 km,8.7 km
Stadl - Schönberg Niederbay, 13.34983,48.84791," 13.34983,48.84791",Gr 81/1,12:04 min,Gr 81/1,7.5 km,"Gr 81/1, Schöf 81/1",48:15 min,48:21 min,52:28 min,50:48 min,45:17 min,43:21 min,43:21 min,15:42 min,12:04 min,40.9 km,38.5 km,40.2 km,42.6 km,33.4 km,41.4 km,41.4 km,15.3 km,7.5 km
Stadlmühle - Schönberg Niederbay, 13.35506,48.84884," 13.35506,48.84884",Gr 81/1,11:22 min,Gr 81/1,5.0 km,"Gr 81/1, Schöf 81/1",47:41 min,48:01 min,52:07 min,50:28 min,44:42 min,42:46 min,42:46 min,15:21 min,11:22 min,39.1 km,38.7 km,40.4 km,42.8 km,31.7 km,39.6 km,39.6 km,15.5 km,5.0 km
Weberreuth - Schönberg Niederbay, 13.33074,48.86639," 13.33074,48.86639",Schöf 81/1,12:32 min,Schöf 81/1,12.2 km,"Gr 81/1, Schöf 81/1",53:37 min,51:10 min,56:14 min,53:37 min,49:00 min,47:52 min,47:52 min,12:32 min,17:26 min,48.1 km,44.2 km,46.0 km,48.2 km,41.8 km,43.2 km,43.2 km,12.2 km,14.8 km
Zehrermühle - Schönberg Niederbay, 13.30996,48.84896," 13.30996,48.84896",Schöf 81/1,10:06 min,Schöf 81/1,9.2 km,Schöf 81/1,51:21 min,48:54 min,53:58 min,51:21 min,48:23 min,46:26 min,46:26 min,10:06 min,15:10 min,45.4 km,41.5 km,43.3 km,45.5 km,37.9 km,45.9 km,45.9 km,9.2 km,12.1 km
Althütte - Spiegelau, 13.31574,48.93912," 13.31574,48.93912",Gr 81/1,17:48 min,Gr 81/1,13.9 km,"Gr 81/1, Schöf 81/1",58:09 min,61:26 min,64:43 min,63:53 min,44:01 min,42:53 min,42:53 min,22:48 min,17:48 min,49.2 km,55.9 km,51.4 km,60.0 km,34.5 km,35.9 km,35.9 km,24.0 km,13.9 km
Augrub - Spiegelau, 13.33770,48.87397," 13.33770,48.87397",Gr 81/1,17:40 min,Gr 81/1,9.8 km,"Gr 81/1, Schöf 81/1",53:57 min,54:02 min,58:09 min,56:29 min,44:33 min,43:25 min,43:25 min,18:28 min,17:40 min,45.7 km,43.4 km,45.0 km,47.4 km,35.2 km,36.7 km,36.7 km,15.5 km,9.8 km
Beiwald - Spiegelau, 13.33546,48.91219," 13.33546,48.91219",Gr 81/1,12:44 min,Gr 81/1,10.2 km,Gr 81/1,53:05 min,56:45 min,59:39 min,59:12 min,38:57 min,37:49 min,37:49 min,18:07 min,12:44 min,45.5 km,52.6 km,47.7 km,56.7 km,30.8 km,32.2 km,32.2 km,20.6 km,10.2 km
Flanitzhütte - Spiegelau, 13.29931,48.95755," 13.29931,48.95755",Gr 81/1,20:44 min,Gr 81/1,18.1 km,"Gr 81/1, Schöf 81/1",61:04 min,64:21 min,67:38 min,66:48 min,46:56 min,45:48 min,45:48 min,25:43 min,20:44 min,53.5 km,60.2 km,55.6 km,64.3 km,38.8 km,40.2 km,40.2 km,28.2 km,18.1 km
Hauswald - Spiegelau, 13.32575,48.91580," 13.32575,48.91580",Gr 81/1,14:02 min,Gr 81/1,11.1 km,"Gr 81/1, Schöf 81/1",54:23 min,56:21 min,60:57 min,58:48 min,40:14 min,39:07 min,39:07 min,17:43 min,14:02 min,46.4 km,52.0 km,48.5 km,56.1 km,31.7 km,33.1 km,33.1 km,20.1 km,11.1 km
Hochreuth - Spiegelau, 13.34565,48.91260," 13.34565,48.91260",Gr 81/1,12:46 min,Gr 81/1,9.7 km,Gr 81/1,53:07 min,58:19 min,59:41 min,59:47 min,38:58 min,37:51 min,37:51 min,19:42 min,12:46 min,45.0 km,53.5 km,47.1 km,52.3 km,30.3 km,31.7 km,31.7 km,21.5 km,9.7 km
Holzmühle - Spiegelau, 13.33260,48.90295," 13.33260,48.90295",Gr 81/1,14:25 min,Gr 81/1,11.3 km,Gr 81/1,54:46 min,58:35 min,61:20 min,61:02 min,40:37 min,39:29 min,39:29 min,19:58 min,14:25 min,46.7 km,51.3 km,48.8 km,55.4 km,32.0 km,33.4 km,33.4 km,19.3 km,11.3 km
Jägerfleck - Spiegelau, 13.36836,48.92590," 13.36836,48.92590",Gr 81/1,15:28 min,Gr 81/1,10.3 km,Gr 81/1,51:42 min,65:19 min,58:16 min,59:30 min,37:33 min,36:26 min,36:26 min,28:17 min,15:28 min,42.7 km,51.2 km,44.8 km,54.3 km,27.9 km,29.4 km,29.4 km,26.1 km,10.3 km
Kirchenberg - Spiegelau, 13.34806,48.89675," 13.34806,48.89675",Gr 81/1,17:30 min,Gr 81/1,12.4 km,Gr 81/1,57:51 min,59:51 min,63:58 min,62:18 min,43:43 min,42:35 min,42:35 min,23:28 min,17:30 min,47.8 km,46.1 km,47.7 km,50.1 km,33.1 km,34.5 km,34.5 km,23.4 km,12.4 km
Klingenbrunn - Spiegelau, 13.31897,48.92226," 13.31897,48.92226",Gr 81/1,14:56 min,Gr 81/1,11.9 km,"Gr 81/1, Schöf 81/1",55:17 min,58:33 min,61:51 min,61:01 min,41:09 min,40:01 min,40:01 min,19:56 min,14:56 min,47.3 km,54.0 km,49.4 km,58.0 km,32.6 km,34.0 km,34.0 km,22.0 km,11.9 km
Kronreuth - Spiegelau, 13.30755,48.92331," 13.30755,48.92331",Gr 81/1,16:49 min,Gr 81/1,12.9 km,"Gr 81/1, Schöf 81/1",57:10 min,60:26 min,63:44 min,62:53 min,43:01 min,41:54 min,41:54 min,21:49 min,16:49 min,48.3 km,55.0 km,50.4 km,59.1 km,33.6 km,35.0 km,35.0 km,23.0 km,12.9 km
Langdorf - Spiegelau, 13.35281,48.90005," 13.35281,48.90005",Gr 81/1,15:47 min,Gr 81/1,11.8 km,Gr 81/1,56:08 min,60:23 min,62:42 min,62:48 min,41:59 min,40:52 min,40:52 min,21:45 min,15:47 min,47.2 km,54.8 km,49.3 km,54.4 km,32.5 km,33.9 km,33.9 km,22.8 km,11.8 km
Luisenfels - Spiegelau, 13.35809,48.90909," 13.35809,48.90909",Gr 81/1,11:43 min,Gr 81/1,8.3 km,Gr 81/1,52:03 min,61:34 min,58:37 min,58:44 min,37:55 min,36:47 min,36:47 min,23:46 min,11:43 min,43.7 km,49.3 km,45.8 km,51.0 km,29.0 km,30.4 km,30.4 km,22.9 km,8.3 km
Mühlberg - Spiegelau, 13.33425,48.90167," 13.33425,48.90167",Gr 81/1,13:40 min,Gr 81/1,11.2 km,Gr 81/1,54:01 min,58:05 min,60:35 min,60:32 min,39:52 min,38:45 min,38:45 min,19:38 min,13:40 min,46.5 km,46.5 km,48.6 km,50.5 km,31.8 km,33.2 km,33.2 km,22.1 km,11.2 km
Neuhütte - Spiegelau, 13.35897,48.92750," 13.35897,48.92750",Gr 81/1,16:00 min,Gr 81/1,9.9 km,Gr 81/1,55:07 min,65:35 min,61:41 min,62:54 min,40:58 min,39:50 min,39:50 min,26:58 min,16:00 min,43.8 km,56.4 km,45.9 km,55.4 km,29.0 km,30.5 km,30.5 km,24.4 km,9.9 km
Oberkreuzberg - Spiegelau, 13.34458,48.89409," 13.34458,48.89409",Gr 81/1,16:15 min,Gr 81/1,12.2 km,Gr 81/1,56:36 min,58:18 min,62:25 min,60:45 min,42:28 min,41:20 min,41:20 min,22:13 min,16:15 min,47.5 km,45.5 km,47.2 km,49.6 km,32.8 km,34.3 km,34.3 km,23.2 km,12.2 km
Ochsenkopf - Spiegelau, 13.30461,48.92484," 13.30461,48.92484",Gr 81/1,18:28 min,Gr 81/1,13.5 km,"Gr 81/1, Schöf 81/1",58:49 min,61:34 min,65:22 min,64:02 min,44:40 min,43:32 min,43:32 min,22:46 min,18:28 min,48.9 km,55.3 km,51.0 km,59.3 km,34.2 km,35.6 km,35.6 km,17.5 km,13.5 km
Palmberg - Spiegelau, 13.34167,48.90802," 13.34167,48.90802",Gr 81/1,14:08 min,Gr 81/1,10.5 km,Gr 81/1,54:29 min,58:44 min,61:03 min,61:10 min,40:21 min,39:13 min,39:13 min,20:06 min,14:08 min,45.8 km,53.4 km,48.0 km,53.1 km,31.1 km,32.5 km,32.5 km,21.4 km,10.5 km
Pronfelden - Spiegelau, 13.36787,48.91206," 13.36787,48.91206",Gr 81/1,8:12 min,Gr 81/1,7.1 km,Gr 81/1,48:36 min,58:03 min,55:10 min,55:13 min,35:48 min,34:40 min,34:40 min,22:50 min,8:12 min,42.6 km,48.1 km,44.8 km,49.8 km,28.4 km,29.8 km,29.8 km,23.7 km,7.1 km
Rehbruck - Spiegelau, 13.35518,48.87424," 13.35518,48.87424",Gr 81/1,11:13 min,Gr 81/1,4.5 km,Gr 81/1,50:03 min,59:30 min,56:37 min,56:40 min,44:24 min,42:40 min,42:40 min,29:24 min,11:13 min,39.9 km,45.3 km,42.0 km,47.0 km,29.3 km,30.2 km,30.2 km,23.6 km,4.5 km
Reinhardschlag - Spiegelau, 13.30655,48.92116," 13.30655,48.92116",Gr 81/1,16:21 min,Gr 81/1,12.9 km,"Gr 81/1, Schöf 81/1",56:42 min,59:58 min,63:16 min,62:26 min,42:33 min,41:26 min,41:26 min,21:21 min,16:21 min,48.3 km,55.0 km,50.4 km,59.0 km,33.5 km,35.0 km,35.0 km,23.0 km,12.9 km
Reuteck - Spiegelau, 13.35081,48.90714," 13.35081,48.90714",Gr 81/1,14:57 min,Gr 81/1,10.1 km,Gr 81/1,55:17 min,60:21 min,61:51 min,61:58 min,41:09 min,40:01 min,40:01 min,21:43 min,14:57 min,45.5 km,54.0 km,47.6 km,52.8 km,30.8 km,32.2 km,32.2 km,22.0 km,10.1 km
Ringen - Spiegelau, 13.33615,48.88167," 13.33615,48.88167",Gr 81/1,16:41 min,Gr 81/1,13.5 km,"Gr 81/1, Schöf 81/1",54:12 min,54:18 min,58:25 min,56:45 min,42:53 min,41:45 min,41:45 min,18:44 min,16:41 min,46.2 km,43.9 km,45.5 km,48.0 km,34.2 km,35.6 km,35.6 km,16.0 km,13.5 km
